# Resolved pools list by minerstat for msOS
# Updated Sun May 12 08:00:32 UTC 2024
104.26.4.192 2miners.com
188.165.24.209 x17.eu.mine.zpool.ca
198.50.168.213 x17.jp.mine.zpool.ca
103.249.70.7 x17.mine.zergpool.com
198.50.168.213 x17.na.mine.zpool.ca
51.79.251.11 x21s.asia.mine.zergpool.com
188.165.24.209 x21s.eu.mine.zpool.ca
103.249.70.7 x21s.mine.zergpool.com
198.50.168.213 x21s.na.mine.zpool.ca
188.165.24.209 x22i.eu.mine.zpool.ca
198.50.168.213 x22i.jp.mine.zpool.ca
103.249.70.7 x22i.mine.zergpool.com
198.50.168.213 x22i.na.mine.zpool.ca
51.79.251.11 x25x.asia.mine.zergpool.com
141.95.55.97 x25x.eu.mine.zergpool.com
188.165.24.209 x25x.eu.mine.zpool.ca
103.249.70.7 x25x.mine.zergpool.com
198.50.168.213 x25x.mine.zpool.ca
198.50.168.213 x25x.na.mine.zpool.ca
138.201.129.138 xao.pool.mine2gether.com
147.135.1.163 xcash.steadyhash.org
172.67.197.24 xd.frostypool.com
217.182.138.181 xdna.suprnova.cc
144.76.173.210 xeq.pool-pay.com
76.223.67.189 xerom.weeminepool.com
51.79.251.11 xevan.asia.mine.zergpool.com
141.95.55.97 xevan.eu.mine.zergpool.com
188.165.24.209 xevan.eu.mine.zpool.ca
198.50.168.213 xevan.jp.mine.zpool.ca
64.190.63.222 xevan.mine.blazepool.com
103.249.70.7 xevan.mine.zergpool.com
198.50.168.213 xevan.mine.zpool.ca
198.50.168.213 xevan.na.mine.zpool.ca
207.201.218.150 xhvpool.dlinodes.com
78.46.87.181 xmc.pool.minergate.com
172.65.203.104 xmr.antpool.com
82.69.122.59 xmr.pool.gntl.co.uk
49.12.80.38 xmr.pool.minergate.com
35.76.39.213 xmr.ss.dxpool.com
51.89.217.80 xmrpool.eu
104.238.162.100 xserty.com
54.38.69.101 xsg.altpool.pro
5.9.95.125 xta.pool-pay.com
3.130.204.160 xtri.minercountry.com
162.19.139.182 xzc.2miners.com
51.79.251.11 yescrypt.asia.mine.zergpool.com
141.95.55.97 yescrypt.eu.mine.zergpool.com
188.165.24.209 yescrypt.eu.mine.zpool.ca
198.50.168.213 yescrypt.jp.mine.zpool.ca
103.249.70.7 yescrypt.mine.zergpool.com
198.50.168.213 yescrypt.mine.zpool.ca
51.178.76.133 yescrypt.mining-dutch.nl
198.50.168.213 yescrypt.na.mine.zpool.ca
198.50.168.213 yescrypt.sea.mine.zpool.ca
51.79.251.11 yescryptr16.asia.mine.zergpool.com
141.95.55.97 yescryptr16.eu.mine.zergpool.com
188.165.24.209 yescryptr16.eu.mine.zpool.ca
198.50.168.213 yescryptr16.jp.mine.zpool.ca
103.249.70.7 yescryptr16.mine.zergpool.com
198.50.168.213 yescryptr16.mine.zpool.ca
51.178.76.133 yescryptr16.mining-dutch.nl
198.50.168.213 yescryptr16.na.mine.zpool.ca
51.79.251.11 yescryptr32.asia.mine.zergpool.com
141.95.55.97 yescryptr32.eu.mine.zergpool.com
188.165.24.209 yescryptr32.eu.mine.zpool.ca
198.50.168.213 yescryptr32.jp.mine.zpool.ca
103.249.70.7 yescryptr32.mine.zergpool.com
51.178.76.133 yescryptr32.mining-dutch.nl
198.50.168.213 yescryptr32.na.mine.zpool.ca
51.79.251.11 yescryptr8.asia.mine.zergpool.com
188.165.24.209 yescryptr8.eu.mine.zpool.ca
198.50.168.213 yescryptr8.jp.mine.zpool.ca
103.249.70.7 yescryptr8.mine.zergpool.com
198.50.168.213 yescryptr8.na.mine.zpool.ca
51.79.251.11 yespower.asia.mine.zergpool.com
141.95.55.97 yespower.eu.mine.zergpool.com
188.165.24.209 yespower.eu.mine.zpool.ca
198.50.168.213 yespower.jp.mine.zpool.ca
103.249.70.7 yespower.mine.zergpool.com
51.178.76.133 yespower.mining-dutch.nl
198.50.168.213 yespower.na.mine.zpool.ca
51.79.251.11 yespowerr16.asia.mine.zergpool.com
141.95.55.97 yespowerr16.eu.mine.zergpool.com
188.165.24.209 yespowerr16.eu.mine.zpool.ca
103.249.70.7 yespowerr16.mine.zergpool.com
51.178.76.133 yespowerr16.mining-dutch.nl
127.0.0.9 yiimp.ccminer.org
162.19.139.120 yoc.2miners.com
149.202.68.136 zano.luckypool.io
162.19.139.181 zcl.2miners.com
54.38.69.101 zcl.altpool.pro
54.37.81.148 zcl.suprnova.cc
51.38.208.118 zcoin-eu.mintpond.com
144.217.48.60 zcoin-us.mintpond.com
198.100.144.29 zcoin.dapool.io
51.38.208.118 zcoin.mintpond.com
147.135.220.159 zdash.suprnova.cc
35.202.11.182 zec-eu.luxor.tech
35.202.11.182 zec-us.luxor.tech
162.19.139.181 zec.2miners.com
54.38.69.101 zec.altpool.pro
172.65.252.61 zec.f2pool.com
34.107.209.233 zec.luxor.tech
13.248.250.13 zec.ss.poolin.com
103.214.5.103 zel-eu.coinblockers.com
162.19.139.181 zel.2miners.com
103.214.5.103 zelsolo-us.coinblockers.com
35.202.11.182 zen-eu.luxor.tech
35.202.11.182 zen-us.luxor.tech
162.19.139.181 zen.2miners.com
34.107.238.104 zen.luxor.tech
13.228.26.111 zencash.f2pool.com
65.108.45.36 zer.equihub.pro
172.67.72.76 zergpool.com
217.182.199.85 zero.suprnova.cc
73.36.85.66 zeropool.io
34.120.90.10 zhash.br.nicehash.com
34.120.90.10 zhash.eu.nicehash.com
34.120.90.10 zhash.hk.nicehash.com
34.120.90.10 zhash.in.nicehash.com
34.120.90.10 zhash.jp.nicehash.com
34.120.90.10 zhash.usa.nicehash.com
54.189.173.252 zil.rustpool.xyz
72.11.134.170 zp-eu.leafpool.com
104.26.11.22 zpool.ca
